,Open,High,Low,Close
2024-08-14,220.57,223.03,219.7,221.72
2024-08-15,224.6,225.35,222.76,224.72
2024-08-16,223.92,226.8271,223.6501,226.05
2024-08-19,225.72,225.99,223.04,225.89
2024-08-20,225.77,227.17,225.45,226.51
2024-08-21,226.52,227.98,225.05,226.4
2024-08-22,227.79,228.34,223.9,224.53
2024-08-23,225.6589,228.22,224.33,226.84
2024-08-26,226.76,227.28,223.8905,227.18
2024-08-27,225.995,228.85,224.89,228.03
2024-08-28,227.92,229.86,225.68,226.49
2024-08-29,230.1,232.92,228.88,229.79
2024-08-30,230.19,230.4,227.48,229.0
2024-09-03,228.55,229.0,221.17,222.77
2024-09-04,221.66,221.78,217.48,220.85
2024-09-05,221.625,225.48,221.52,222.38
2024-09-06,223.95,225.24,219.77,220.82
2024-09-09,220.82,221.27,216.71,220.91
2024-09-10,218.92,221.48,216.73,220.11
2024-09-11,221.455,223.09,217.89,222.66
2024-09-12,222.5,223.55,219.82,222.77
2024-09-13,223.58,224.04,221.91,222.5
2024-09-16,216.54,217.22,213.92,216.32
2024-09-17,215.75,216.9,214.5,216.79
2024-09-18,217.55,222.71,217.54,220.69
2024-09-19,224.99,229.82,224.63,228.87
2024-09-20,229.97,233.09,227.62,228.2
2024-09-23,227.34,229.45,225.81,226.47
2024-09-24,228.645,229.35,225.73,227.37
2024-09-25,224.93,227.29,224.02,226.37
2024-09-26,227.3,228.5,225.41,227.52
2024-09-27,228.46,229.52,227.3,227.79
2024-09-30,230.04,233.0,229.65,233.0
2024-10-01,229.52,229.65,223.74,226.21
2024-10-02,225.89,227.37,223.02,226.78
2024-10-03,225.14,226.805,223.32,225.67
2024-10-04,227.9,228.0,224.13,226.8
2024-10-07,224.5,225.69,221.33,221.69
2024-10-08,224.3,225.98,223.25,225.77
2024-10-09,225.23,229.75,224.83,229.54
2024-10-10,227.78,229.5,227.17,229.04
2024-10-11,229.3,229.41,227.34,227.55
2024-10-14,228.7,231.73,228.6,231.3
2024-10-15,233.61,237.49,232.37,233.85
2024-10-16,231.6,232.12,229.84,231.78
2024-10-17,233.43,233.85,230.52,232.15
2024-10-18,236.18,236.18,234.01,235.0
2024-10-21,234.45,236.85,234.45,236.48
2024-10-22,233.885,236.22,232.6,235.86
2024-10-23,234.08,235.144,227.76,230.76
2024-10-24,229.98,230.82,228.41,230.57
2024-10-25,229.74,233.22,229.57,231.41
2024-10-28,233.32,234.73,232.55,233.4
2024-10-29,233.1,234.325,232.32,233.67
2024-10-30,232.61,233.47,229.55,230.1
2024-10-31,229.34,229.83,225.37,225.91
2024-11-01,220.965,225.35,220.27,222.91
2024-11-04,220.99,222.79,219.71,222.01
2024-11-05,221.795,223.95,221.14,223.45
2024-11-06,222.61,226.065,221.19,222.72
2024-11-07,224.625,227.875,224.57,227.48
2024-11-08,227.17,228.66,226.405,226.96
2024-11-11,225.0,225.7,221.5,224.23
2024-11-12,224.55,225.59,223.355,224.23
2024-11-13,224.01,226.65,222.76,225.12
2024-11-14,225.02,228.87,225.0,228.22
2024-11-15,226.4,226.92,224.27,225.0
2024-11-18,225.25,229.74,225.17,228.02
2024-11-19,226.98,230.16,226.66,228.28
2024-11-20,228.06,229.93,225.89,229.0
2024-11-21,228.88,230.155,225.7103,228.52
2024-11-22,228.06,230.7199,228.06,229.87
2024-11-25,231.46,233.245,229.74,232.87
2024-11-26,233.33,235.57,233.33,235.06
2024-11-27,234.465,235.69,233.8101,234.93
2024-11-29,234.81,237.81,233.97,237.33
2024-12-02,237.27,240.79,237.16,239.59
2024-12-03,239.81,242.76,238.9,242.65
2024-12-04,242.87,244.11,241.25,243.01
2024-12-05,243.99,244.54,242.13,243.04
2024-12-06,242.905,244.63,242.08,242.84
2024-12-09,241.83,247.24,241.75,246.75
2024-12-10,246.89,248.21,245.34,247.77
2024-12-11,247.96,250.8,246.2601,246.49
2024-12-12,246.89,248.74,245.68,247.96
2024-12-13,247.815,249.2902,246.24,248.13
2024-12-16,247.99,251.38,247.65,251.04
2024-12-17,250.08,253.83,249.78,253.48
2024-12-18,252.16,254.28,247.74,248.05
2024-12-19,247.5,252.0,247.0949,249.79
2024-12-20,248.04,255.0,245.69,254.49
2024-12-23,254.77,255.65,253.45,255.27
2024-12-24,255.49,258.21,255.29,258.2
2024-12-26,258.19,260.1,257.63,259.02
2024-12-27,257.83,258.7,253.06,255.59
2024-12-30,252.23,253.5,250.75,252.2
2024-12-31,252.44,253.28,249.43,250.42
2025-01-02,248.93,249.1,241.8201,243.85
2025-01-03,243.36,244.18,241.89,243.36
2025-01-06,244.3,247.33,243.84,245.0
